Title,Description,Image URL,Address,Country,Number of Bedrooms,Number of Bathrooms,Floor Size (m2),Price (USD),Property URL
"Home For Sale, Ankara Turkey","Home at Ankara Turkey With 6 bedrooms, 4 bathrooms, Park View, City View, Park or Green Belt View, parking lot, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-134468319__0__720.jpg,Ankara,Turkey,6.0,4.0,380.0,1869136,https://www.century21global.com/en/p/ankara-turkey--rl-134468319
"Home For Sale, İstanbul-Avrupa Turkey","Home at İstanbul-Avrupa Turkey With 2 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-133153998__0__720.jpg,İstanbul-Avrupa,Turkey,2.0,0.0,,1840380,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-133153998
"Home For Sale, İstanbul-Avrupa Turkey","Home at İstanbul-Avrupa Turkey With 8 bedrooms, 5 bathrooms, Lake View, City View, Park or Green Belt View, parking lot, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-133434698__0__720.jpg,İstanbul-Avrupa,Turkey,8.0,5.0,,1811624,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-133434698
"Single Family House For Sale, Mugla Turkey","Single Family House at Mugla Turkey With 4 bedrooms, 4 bathrooms, parking lot.",https://assets.xomio.com/listings/images/rl-134560836__0__720.jpg,Mugla,Turkey,4.0,4.0,480.0,1797246,https://www.century21global.com/en/p/muğla-turkey--rl-134560836
"Home For Sale, İstanbul-Anadolu 3400 Turkey",Home at İstanbul-Anadolu 3400 Turkey.,https://assets.xomio.com/listings/images/rl-134908538__0__720.jpg,İstanbul-Anadolu,Turkey,,,468.0,1797246,https://www.century21global.com/en/p/i̇stanbul-anadolu-3400-turkey--rl-134908538
"Home For Sale, Ankara Turkey","Home at Ankara Turkey With 6 bedrooms, 4 bathrooms.",https://assets.xomio.com/listings/images/rl-133773021__0__720.jpg,Ankara,Turkey,6.0,4.0,620.0,1782581,https://www.century21global.com/en/p/ankara-turkey--rl-133773021
"Home For Sale, Ankara Turkey",Home at Ankara Turkey.,https://assets.xomio.com/listings/images/rl-134186122__0__720.jpg,Ankara,Turkey,,,8140.0,1768490,https://www.century21global.com/en/p/ankara-turkey--rl-134186122
"Home For Sale, İstanbul-Anadolu Turkey","Home at İstanbul-Anadolu Turkey With 10 bedrooms, 2 bathrooms, Park or Green Belt View, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-133403601__0__720.jpg,İstanbul-Anadolu,Turkey,10.0,2.0,560.0,1725356,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-133403601
"Home For Sale, İstanbul-Anadolu Turkey","Home at İstanbul-Anadolu Turkey With 4 bedrooms, 3 bathrooms, Sea View, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-134847619__0__720.jpg,İstanbul-Anadolu,Turkey,4.0,3.0,245.0,1725356,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-134847619
"Home For Sale, İstanbul-Avrupa Turkey",Home at İstanbul-Avrupa Turkey.,https://assets.xomio.com/listings/images/rl-133746009__0__720.jpg,İstanbul-Avrupa,Turkey,,,1200.0,1725356,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-133746009
"Home For Sale, Ankara Turkey","Home at Ankara Turkey With 7 bedrooms, 6 bathrooms, Lake View, City View, Park or Green Belt View, parking lot.",https://assets.xomio.com/listings/images/rl-134761044__0__720.jpg,Ankara,Turkey,7.0,6.0,525.0,1725356,https://www.century21global.com/en/p/ankara-turkey--rl-134761044
"Home For Sale, Edirne 22000 Turkey",Home at Edirne 22000 Turkey.,https://assets.xomio.com/listings/images/rl-134510282__0__720.jpg,Edirne,Turkey,,,15.0,1725356,https://www.century21global.com/en/p/edirne-22000-turkey--rl-134510282
"Home For Sale, İstanbul-Anadolu Turkey",Home at İstanbul-Anadolu Turkey.,https://assets.xomio.com/listings/images/rl-133434665__0__720.jpg,İstanbul-Anadolu,Turkey,,,435.0,1725356,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-133434665
"Home For Sale, Mugla Turkey",Home at Mugla Turkey.,https://assets.xomio.com/listings/images/rl-134156685__0__720.jpg,Mugla,Turkey,,,2394.0,1725356,https://www.century21global.com/en/p/muğla-turkey--rl-134156685
"Home For Sale, İstanbul-Avrupa Turkey","Home at İstanbul-Avrupa Turkey With 3 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-134648146__0__720.jpg,İstanbul-Avrupa,Turkey,3.0,0.0,170.0,1667845,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134648146
"Home For Sale, İstanbul-Anadolu Turkey",Home at İstanbul-Anadolu Turkey.,https://assets.xomio.com/listings/images/rl-133526765__0__720.jpg,İstanbul-Anadolu,Turkey,,,13510.0,1653467,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-133526765
"Home For Sale, İstanbul-Anadolu 34983 Turkey","Home at İstanbul-Anadolu 34983 Turkey With 7 bedrooms, 6 bathrooms, parking lot, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-134814450__0__720.jpg,İstanbul-Anadolu,Turkey,7.0,6.0,617.0,1639089,https://www.century21global.com/en/p/i̇stanbul-anadolu-34983-turkey--rl-134814450
"Home For Sale, İstanbul-Avrupa Turkey","Home at İstanbul-Avrupa Turkey With 3 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-134381222__0__720.jpg,İstanbul-Avrupa,Turkey,3.0,0.0,135.0,1610333,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134381222
"Home For Sale, İstanbul-Anadolu Turkey",Home at İstanbul-Anadolu Turkey.,https://assets.xomio.com/listings/images/rl-133845959__0__720.jpg,İstanbul-Anadolu,Turkey,,,,1581577,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-133845959
"Home For Sale, Mugla Turkey","Home at Mugla Turkey With 4 bedrooms, 3 bathrooms.",https://assets.xomio.com/listings/images/rl-134571617__0__720.jpg,Mugla,Turkey,4.0,3.0,280.0,1549945,https://www.century21global.com/en/p/muğla-turkey--rl-134571617
"Home For Sale, İstanbul-Anadolu Turkey","Home at İstanbul-Anadolu Turkey With 5 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-134349210__0__720.jpg,İstanbul-Anadolu,Turkey,5.0,0.0,1500.0,1538443,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-134349210
"Home For Sale, Kayseri Turkey",Home at Kayseri Turkey.,https://assets.xomio.com/listings/images/rl-134934765__0__720.jpg,Kayseri,Turkey,,,1600.0,1524065,https://www.century21global.com/en/p/kayseri-turkey--rl-134934765
"Farm For Sale, Ankara Turkey",Farm at Ankara Turkey.,https://assets.xomio.com/listings/images/rl-134377349__0__720.jpg,Ankara,Turkey,,,600.0,1524065,https://www.century21global.com/en/p/ankara-turkey--rl-134377349
"Home For Sale, Balıkesir Turkey","Home at Balıkesir Turkey With 12 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-134802597__0__720.jpg,Balıkesir,Turkey,12.0,0.0,624.0,1509687,https://www.century21global.com/en/p/balıkesir-turkey--rl-134802597
"Home For Sale, Ankara Turkey",Home at Ankara Turkey.,https://assets.xomio.com/listings/images/rl-133828035__0__720.jpg,Ankara,Turkey,,,1000.0,1509687,https://www.century21global.com/en/p/ankara-turkey--rl-133828035
"Home For Sale, İstanbul-Anadolu Turkey","Home at İstanbul-Anadolu Turkey With 5 bedrooms, 4 bathrooms, City View, Park or Green Belt View, parking lot.",https://assets.xomio.com/listings/images/rl-134926353__0__720.jpg,İstanbul-Anadolu,Turkey,5.0,4.0,350.0,1509687,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-134926353
"Home For Sale, Mugla 48400 Turkey","Home at Mugla 48400 Turkey With 4 bedrooms, 2 bathrooms, Sea View, parking lot.",https://assets.xomio.com/listings/images/rl-134755841__0__720.jpg,Mugla,Turkey,4.0,2.0,180.0,1509687,https://www.century21global.com/en/p/muğla-48400-turkey--rl-134755841
"Home For Sale, İstanbul-Avrupa Turkey",Home at İstanbul-Avrupa Turkey.,https://assets.xomio.com/listings/images/rl-133509788__0__720.jpg,İstanbul-Avrupa,Turkey,,,,1495309,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-133509788
"Home For Sale, Balıkesir Turkey",Home at Balıkesir Turkey.,https://assets.xomio.com/listings/images/rl-134462168__0__720.jpg,Balıkesir,Turkey,,,4327.0,1495309,https://www.century21global.com/en/p/balıkesir-turkey--rl-134462168
"Home For Sale, İstanbul-Avrupa Turkey",Home at İstanbul-Avrupa Turkey.,https://assets.xomio.com/listings/images/rl-134146293__0__720.jpg,İstanbul-Avrupa,Turkey,,,330.0,1495309,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134146293
,,,,,,,,,
"Home For Sale, Balıkesir Turkey",Home at Balıkesir Turkey.,https://assets.xomio.com/listings/images/rl-134700020__0__720.jpg,Balıkesir,Turkey,,,23138.0,1495309,https://www.century21global.com/en/p/balıkesir-turkey--rl-134700020
"Home For Sale, Kocaeli Turkey",Home at Kocaeli Turkey.,https://assets.xomio.com/listings/images/rl-134952465__0__720.jpg,Kocaeli,Turkey,,,5726.0,1481909,https://www.century21global.com/en/p/kocaeli-turkey--rl-134952465
"Home For Sale, Kocaeli Turkey",Home at Kocaeli Turkey.,https://assets.xomio.com/listings/images/rl-134794099__0__720.jpg,Kocaeli,Turkey,,,,1478055,https://www.century21global.com/en/p/kocaeli-turkey--rl-134794099
"Single Family House For Sale, İstanbul-Anadolu Turkey","Single Family House at İstanbul-Anadolu Turkey With 5 bedrooms, 3 bathrooms.",https://assets.xomio.com/listings/images/rl-133285426__0__720.jpg,İstanbul-Anadolu,Turkey,5.0,3.0,360.0,1423419,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-133285426
"Home For Sale, Ankara Turkey","Home at Ankara Turkey With 2 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-134117722__0__720.jpg,Ankara,Turkey,2.0,0.0,164.0,1466553,https://www.century21global.com/en/p/ankara-turkey--rl-134117722
"Single Family House For Sale, Mugla Turkey","Single Family House at Mugla Turkey With 3 bedrooms, 3 bathrooms, parking lot.",https://assets.xomio.com/listings/images/rl-134710839__0__720.jpg,Mugla,Turkey,3.0,3.0,183.0,1466553,https://www.century21global.com/en/p/muğla-turkey--rl-134710839
"Home For Sale, Ankara Turkey",Home at Ankara Turkey.,https://assets.xomio.com/listings/images/rl-134462176__0__720.jpg,Ankara,Turkey,,,32000.0,1437797,https://www.century21global.com/en/p/ankara-turkey--rl-134462176
"Home For Sale, Sakarya Turkey",Home at Sakarya Turkey.,https://assets.xomio.com/listings/images/rl-134926268__0__720.jpg,Sakarya,Turkey,,,2484.0,1437797,https://www.century21global.com/en/p/sakarya-turkey--rl-134926268
"Home For Sale, İstanbul-Avrupa Turkey","Home at İstanbul-Avrupa Turkey With 3 bedrooms, 2 bathrooms.",https://assets.xomio.com/listings/images/rl-134714651__0__720.jpg,İstanbul-Avrupa,Turkey,3.0,2.0,150.0,1430608,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134714651
"Condominium/Co-Op For Sale, İstanbul-Avrupa Turkey","Condominium/Co-Op at İstanbul-Avrupa Turkey With 3 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-134381230__0__720.jpg,İstanbul-Avrupa,Turkey,3.0,0.0,125.0,1430608,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134381230
"Home For Sale, İstanbul-Avrupa Turkey",Home at İstanbul-Avrupa Turkey.,https://assets.xomio.com/listings/images/rl-134439406__0__720.jpg,İstanbul-Avrupa,Turkey,,,150.0,1423419,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134439406
"Home For Sale, Ankara Turkey","Home at Ankara Turkey With 4 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-134908547__0__720.jpg,Ankara,Turkey,4.0,0.0,326.0,1409041,https://www.century21global.com/en/p/ankara-turkey--rl-134908547
"Home For Sale, İstanbul-Avrupa 34450 Turkey","Home at İstanbul-Avrupa 34450 Turkey With 5 bedrooms, 3 bathrooms, City View, Park or Green Belt View, parking lot, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-134997336__0__720.jpg,İstanbul-Avrupa,Turkey,5.0,3.0,320.0,1409041,https://www.century21global.com/en/p/i̇stanbul-avrupa-34450-turkey--rl-134997336
"Home For Sale, Ankara Turkey",Home at Ankara Turkey.,https://assets.xomio.com/listings/images/rl-133257613__0__720.jpg,Ankara,Turkey,,,65347.0,1396676,https://www.century21global.com/en/p/ankara-turkey--rl-133257613
"Home For Sale, Trabzon Turkey",Home at Trabzon Turkey.,https://assets.xomio.com/listings/images/rl-133443075__0__720.jpg,Trabzon,Turkey,,,,1351529,https://www.century21global.com/en/p/trabzon-turkey--rl-133443075
"Home For Sale, Antalya Turkey",Home at Antalya Turkey.,https://assets.xomio.com/listings/images/rl-134945776__0__720.jpg,Antalya,Turkey,,,550.0,1344053,https://www.century21global.com/en/p/antalya-turkey--rl-134945776
"Home For Sale, Izmir Turkey","Home at Izmir Turkey With 10 bedrooms, 5 bathrooms, parking lot.",https://assets.xomio.com/listings/images/rl-134963655__0__720.jpg,Izmir,Turkey,10.0,5.0,508.0,1322773,https://www.century21global.com/en/p/i̇zmir-turkey--rl-134963655
"Home For Sale, Balıkesir Turkey",Home at Balıkesir Turkey.,https://assets.xomio.com/listings/images/rl-134254286__0__720.jpg,Balıkesir,Turkey,,,887.0,1322773,https://www.century21global.com/en/p/balıkesir-turkey--rl-134254286
"Home For Sale, Mugla Turkey","Home at Mugla Turkey With 4 bedrooms, 2 bathrooms, Pool View, parking lot.",https://assets.xomio.com/listings/images/rl-133915622__0__720.jpg,Mugla,Turkey,4.0,2.0,135.0,1294017,https://www.century21global.com/en/p/muğla-turkey--rl-133915622
"Home For Sale, İstanbul-Avrupa Turkey","Home at İstanbul-Avrupa Turkey With 10 bedrooms, 4 bathrooms.",https://assets.xomio.com/listings/images/rl-134799225__0__720.jpg,İstanbul-Avrupa,Turkey,10.0,4.0,850.0,1294017,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134799225
"Home For Sale, Çanakkale Turkey",Home at Çanakkale Turkey.,https://assets.xomio.com/listings/images/rl-134934730__0__720.jpg,Çanakkale,Turkey,,,11400.0,1294017,https://www.century21global.com/en/p/çanakkale-turkey--rl-134934730
"Home For Sale, Kayseri Turkey",Home at Kayseri Turkey.,https://assets.xomio.com/listings/images/rl-134780697__0__720.jpg,Kayseri,Turkey,,,5533.0,1294017,https://www.century21global.com/en/p/kayseri-turkey--rl-134780697
"Home For Sale, İstanbul-Avrupa 34450 Turkey","Home at İstanbul-Avrupa 34450 Turkey With 5 bedrooms, 4 bathrooms, Park or Green Belt View, parking lot, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-135005772__0__720.jpg,İstanbul-Avrupa,Turkey,5.0,4.0,350.0,1294017,https://www.century21global.com/en/p/i̇stanbul-avrupa-34450-turkey--rl-135005772
"Home For Sale, Izmir Turkey","Home at Izmir Turkey With 4 bedrooms, 3 bathrooms, parking lot.",https://assets.xomio.com/listings/images/rl-134616780__0__720.jpg,Izmir,Turkey,4.0,3.0,230.0,1265261,https://www.century21global.com/en/p/i̇zmir-turkey--rl-134616780
"Home For Sale, Mugla Turkey","Home at Mugla Turkey With 5 bedrooms, 3 bathrooms.",https://assets.xomio.com/listings/images/rl-134710846__0__720.jpg,Mugla,Turkey,5.0,3.0,188.0,1265261,https://www.century21global.com/en/p/muğla-turkey--rl-134710846
"Home For Sale, İstanbul-Avrupa Turkey","Home at İstanbul-Avrupa Turkey With 4 bedrooms, 2 bathrooms, Pool View, Park or Green Belt View, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-134524711__0__720.jpg,İstanbul-Avrupa,Turkey,4.0,2.0,230.0,1262386,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134524711
"Home For Sale, İstanbul-Avrupa Turkey","Home at İstanbul-Avrupa Turkey With 6 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-134942693__0__720.jpg,İstanbul-Avrupa,Turkey,6.0,0.0,160.0,1258072,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134942693
"Home For Sale, Mugla Turkey",Home at Mugla Turkey.,https://assets.xomio.com/listings/images/rl-135005777__0__720.jpg,Mugla,Turkey,,,130.0,1260948,https://www.century21global.com/en/p/muğla-turkey--rl-135005777
"Home For Sale, İstanbul-Anadolu Turkey","Home at İstanbul-Anadolu Turkey With 4 bedrooms, 3 bathrooms, City View, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-134035153__0__720.jpg,İstanbul-Anadolu,Turkey,4.0,3.0,190.0,1250883,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-134035153
"Home For Sale, Ankara Turkey",Home at Ankara Turkey.,https://assets.xomio.com/listings/images/rl-134108550__0__720.jpg,Ankara,Turkey,,,,1236505,https://www.century21global.com/en/p/ankara-turkey--rl-134108550
"Home For Sale, Antalya Turkey",Home at Antalya Turkey.,https://assets.xomio.com/listings/images/rl-134403096__0__720.jpg,Antalya,Turkey,,,3773.0,1225003,https://www.century21global.com/en/p/antalya-turkey--rl-134403096
"Home For Sale, İstanbul-Anadolu Turkey",Home at İstanbul-Anadolu Turkey.,https://assets.xomio.com/listings/images/rl-132453977__0__720.jpg,İstanbul-Anadolu,Turkey,,,,1222128,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-132453977
"Condominium/Co-Op For Sale, İstanbul-Anadolu Turkey","Condominium/Co-Op at İstanbul-Anadolu Turkey With 5 bedrooms, 2 bathrooms, Sea View, City View, parking lot, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-132452837__0__720.jpg,İstanbul-Anadolu,Turkey,5.0,2.0,225.0,1222128,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-132452837
"Home For Sale, İstanbul-Avrupa 34408 Turkey",Home at İstanbul-Avrupa 34408 Turkey.,https://assets.xomio.com/listings/images/rl-134675255__0__720.jpg,İstanbul-Avrupa,Turkey,,,,1222128,https://www.century21global.com/en/p/i̇stanbul-avrupa-34408-turkey--rl-134675255
"Home For Sale, Ankara Turkey","Home at Ankara Turkey With one bedroom, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-133276126__0__720.jpg,Ankara,Turkey,1.0,0.0,600.0,1222128,https://www.century21global.com/en/p/ankara-turkey--rl-133276126
"Home For Sale, Sakarya Turkey","Home at Sakarya Turkey With 6 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-133514860__0__720.jpg,Sakarya,Turkey,6.0,0.0,410.0,1207750,https://www.century21global.com/en/p/sakarya-turkey--rl-133514860
"Home For Sale, Antalya Turkey",Home at Antalya Turkey.,https://assets.xomio.com/listings/images/rl-133803264__0__720.jpg,Antalya,Turkey,,,10124.0,1193372,https://www.century21global.com/en/p/antalya-turkey--rl-133803264
"Home For Sale, Balıkesir Turkey",Home at Balıkesir Turkey.,https://assets.xomio.com/listings/images/rl-134481241__0__720.jpg,Balıkesir,Turkey,,,29012.0,1193372,https://www.century21global.com/en/p/balıkesir-turkey--rl-134481241
"Home For Sale, Mugla 48400 Turkey","Home at Mugla 48400 Turkey With 4 bedrooms, 2 bathrooms, parking lot.",https://assets.xomio.com/listings/images/rl-134422116__0__720.jpg,Mugla,Turkey,4.0,2.0,225.0,1193372,https://www.century21global.com/en/p/muğla-48400-turkey--rl-134422116
"Home For Sale, Ankara Turkey",Home at Ankara Turkey.,https://assets.xomio.com/listings/images/rl-134814425__0__720.jpg,Ankara,Turkey,,,,1178994,https://www.century21global.com/en/p/ankara-turkey--rl-134814425
,,,,,,,,,
"Home For Sale, Bolu Turkey",Home at Bolu Turkey.,https://assets.xomio.com/listings/images/rl-134912747__0__720.jpg,Bolu,Turkey,,,370.0,1178994,https://www.century21global.com/en/p/bolu-turkey--rl-134912747
"Home For Sale, İstanbul-Avrupa Turkey","Home at İstanbul-Avrupa Turkey With one bedroom, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-134718770__0__720.jpg,İstanbul-Avrupa,Turkey,1.0,0.0,410.0,1150238,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134718770
"Home For Sale, İstanbul-Anadolu Turkey",Home at İstanbul-Anadolu Turkey.,https://assets.xomio.com/listings/images/rl-132883545__0__720.jpg,İstanbul-Anadolu,Turkey,,,3.0,1150238,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-132883545
"Home For Sale, İstanbul-Anadolu Turkey",Home at İstanbul-Anadolu Turkey.,https://assets.xomio.com/listings/images/rl-134899663__0__720.jpg,İstanbul-Anadolu,Turkey,,,385.0,1150238,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-134899663
"Single Family House For Sale, Mugla Turkey","Single Family House at Mugla Turkey With 4 bedrooms, 3 bathrooms, Sea View, parking lot.",https://assets.xomio.com/listings/images/rl-134476581__0__720.jpg,Mugla,Turkey,4.0,3.0,171.0,1148800,https://www.century21global.com/en/p/muğla-turkey--rl-134476581
"Home For Sale, Mugla Turkey","Home at Mugla Turkey With 4 bedrooms, 2 bathrooms, Pool View, Park or Green Belt View, parking lot.",https://assets.xomio.com/listings/images/rl-133599765__0__720.jpg,Mugla,Turkey,4.0,2.0,215.0,1150238,https://www.century21global.com/en/p/muğla-turkey--rl-133599765
"Home For Sale, Bursa Turkey",Home at Bursa Turkey.,https://assets.xomio.com/listings/images/rl-134847555__0__720.jpg,Bursa,Turkey,,,4901.0,1135860,https://www.century21global.com/en/p/bursa-turkey--rl-134847555
"Home For Sale, İstanbul-Avrupa Turkey","Home at İstanbul-Avrupa Turkey With 4 bedrooms, 3 bathrooms, Park or Green Belt View, parking lot.",https://assets.xomio.com/listings/images/rl-134620159__0__720.jpg,İstanbul-Avrupa,Turkey,4.0,3.0,260.0,1135860,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134620159
"Home For Sale, İstanbul-Anadolu Turkey","Home at İstanbul-Anadolu Turkey With 3 bedrooms, 2 bathrooms, Sea View, Park View, City View, Park or Green Belt View, parking lot, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-134855958__0__720.jpg,İstanbul-Anadolu,Turkey,3.0,2.0,134.0,1135860,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-134855958
"Home For Sale, Antalya Turkey",Home at Antalya Turkey.,https://assets.xomio.com/listings/images/rl-134876887__0__720.jpg,Antalya,Turkey,,,432.0,1121482,https://www.century21global.com/en/p/antalya-turkey--rl-134876887
"Home For Sale, Balıkesir Turkey","Home at Balıkesir Turkey With 3 bedrooms, one bathroom, parking lot.",https://assets.xomio.com/listings/images/rl-134506850__0__720.jpg,Balıkesir,Turkey,3.0,1.0,,1121482,https://www.century21global.com/en/p/balıkesir-turkey--rl-134506850
"Home For Sale, Izmir Turkey",Home at Izmir Turkey.,https://assets.xomio.com/listings/images/rl-134629174__0__720.jpg,Izmir,Turkey,,,7.0,1121482,https://www.century21global.com/en/p/i̇zmir-turkey--rl-134629174
"Home For Sale, Ankara Turkey","Home at Ankara Turkey With 2 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-134108541__0__720.jpg,Ankara,Turkey,2.0,0.0,,1107104,https://www.century21global.com/en/p/ankara-turkey--rl-134108541
"Home For Sale, Sakarya Turkey","Home at Sakarya Turkey With 6 bedrooms, 2 bathrooms.",https://assets.xomio.com/listings/images/rl-134726598__0__720.jpg,Sakarya,Turkey,6.0,2.0,410.0,1092726,https://www.century21global.com/en/p/sakarya-turkey--rl-134726598
"Home For Sale, Mugla Turkey","Home at Mugla Turkey With 4 bedrooms, 4 bathrooms, parking lot.",https://assets.xomio.com/listings/images/rl-134176383__0__720.jpg,Mugla,Turkey,4.0,4.0,165.0,1092726,https://www.century21global.com/en/p/muğla-turkey--rl-134176383
"Home For Sale, Trabzon Turkey",Home at Trabzon Turkey.,https://assets.xomio.com/listings/images/rl-134510242__0__720.jpg,Trabzon,Turkey,,,2183.0,1091288,https://www.century21global.com/en/p/trabzon-turkey--rl-134510242
"Home For Sale, Mugla Turkey","Home at Mugla Turkey With 3 bedrooms, 3 bathrooms, Sea View.",https://assets.xomio.com/listings/images/rl-134259181__0__720.jpg,Mugla,Turkey,3.0,3.0,92.0,1078348,https://www.century21global.com/en/p/muğla-turkey--rl-134259181
"Home For Sale, Ankara Turkey",Home at Ankara Turkey.,https://assets.xomio.com/listings/images/rl-134832113__0__720.jpg,Ankara,Turkey,,,260000.0,1084995,https://www.century21global.com/en/p/ankara-turkey--rl-134832113
"Home For Sale, Ankara 6830 Turkey",Home at Ankara 6830 Turkey.,https://assets.xomio.com/listings/images/rl-134876857__0__720.jpg,Ankara,Turkey,,,780.0,1063970,https://www.century21global.com/en/p/ankara-6830-turkey--rl-134876857
"Home For Sale, Mugla Turkey",Home at Mugla Turkey.,https://assets.xomio.com/listings/images/rl-133403635__0__720.jpg,Mugla,Turkey,,,31130.0,1063970,https://www.century21global.com/en/p/muğla-turkey--rl-133403635
"Single Family House For Sale, Mugla 48400 Turkey","Single Family House at Mugla 48400 Turkey With 4 bedrooms, 3 bathrooms, parking lot.",https://assets.xomio.com/listings/images/rl-134502874__0__720.jpg,Mugla,Turkey,4.0,3.0,250.0,1061094,https://www.century21global.com/en/p/muğla-48400-turkey--rl-134502874
